areaCode,areaName,areaType,date,hospitalCases
K02000001,United Kingdom,overview,9/8/2021,8098
K02000001,United Kingdom,overview,9/7/2021,7940
K02000001,United Kingdom,overview,9/6/2021,8009
K02000001,United Kingdom,overview,9/5/2021,7723
K02000001,United Kingdom,overview,9/4/2021,7531
K02000001,United Kingdom,overview,9/3/2021,7648
K02000001,United Kingdom,overview,9/2/2021,7604
K02000001,United Kingdom,overview,9/1/2021,7661
K02000001,United Kingdom,overview,8/31/2021,7661
K02000001,United Kingdom,overview,8/30/2021,7320
K02000001,United Kingdom,overview,8/29/2021,7092
K02000001,United Kingdom,overview,8/28/2021,6961
K02000001,United Kingdom,overview,8/27/2021,7069
K02000001,United Kingdom,overview,8/26/2021,7019
K02000001,United Kingdom,overview,8/25/2021,6973
K02000001,United Kingdom,overview,8/24/2021,6949
K02000001,United Kingdom,overview,8/23/2021,7008
K02000001,United Kingdom,overview,8/22/2021,6738
K02000001,United Kingdom,overview,8/21/2021,6521
K02000001,United Kingdom,overview,8/20/2021,6510
K02000001,United Kingdom,overview,8/19/2021,6501
K02000001,United Kingdom,overview,8/18/2021,6459
K02000001,United Kingdom,overview,8/17/2021,6401
K02000001,United Kingdom,overview,8/16/2021,6376
K02000001,United Kingdom,overview,8/15/2021,6040
K02000001,United Kingdom,overview,8/14/2021,5877
K02000001,United Kingdom,overview,8/13/2021,5979
K02000001,United Kingdom,overview,8/12/2021,5951
K02000001,United Kingdom,overview,8/11/2021,5997
K02000001,United Kingdom,overview,8/10/2021,6014
K02000001,United Kingdom,overview,8/9/2021,6011
K02000001,United Kingdom,overview,8/8/2021,5851
K02000001,United Kingdom,overview,8/7/2021,5697
K02000001,United Kingdom,overview,8/6/2021,5746
K02000001,United Kingdom,overview,8/5/2021,5750
K02000001,United Kingdom,overview,8/4/2021,5787
K02000001,United Kingdom,overview,8/3/2021,6002
K02000001,United Kingdom,overview,8/2/2021,6210
K02000001,United Kingdom,overview,8/1/2021,5977
K02000001,United Kingdom,overview,7/31/2021,5953
K02000001,United Kingdom,overview,7/30/2021,6014
K02000001,United Kingdom,overview,7/29/2021,5981
K02000001,United Kingdom,overview,7/28/2021,6104
K02000001,United Kingdom,overview,7/27/2021,6093
K02000001,United Kingdom,overview,7/26/2021,6001
K02000001,United Kingdom,overview,7/25/2021,5644
K02000001,United Kingdom,overview,7/24/2021,5375
K02000001,United Kingdom,overview,7/23/2021,5308
K02000001,United Kingdom,overview,7/22/2021,5096
K02000001,United Kingdom,overview,7/21/2021,4925
K02000001,United Kingdom,overview,7/20/2021,4737
K02000001,United Kingdom,overview,7/19/2021,4646
K02000001,United Kingdom,overview,7/18/2021,4343
K02000001,United Kingdom,overview,7/17/2021,4227
K02000001,United Kingdom,overview,7/16/2021,4147
K02000001,United Kingdom,overview,7/15/2021,4034
